user,follows,followed
bewhoiam,98995,2
chargers,255114,92
hoskelsa,759440,374
dirty_childhood_confessions_,6588,317
iamalyssalight,101463,537
andreaschoice,535049,428
qeorgie,49502,298
playboy,1765609,163
sophialucia5678,829935,573
fadedlifestyle,4212,152
targetstyle,626610,524
maddie.47,584,958
alecmajerus,49959,587
robbieeimpact,175,14917
niallcum,73,1295
iamzoie,835,123190
perksofstfu,279,32868
wex1200,13224,641
aliencreature,441337,79
iwearsin,281496,389
primoisfocused,3744,3802
denizduygulu,81635,787
surfingmagazine,479599,668
fallontonight,747,902399
billyunger,99,306035
djruckusofficial,14688,448
nicolekhalil,215,148459
1dir3ctionn,5089,9708
insta_kitten,0,474751
philadelphiaeagles,413632,98
comiclonilove,66,210824
arose1860,572575,545
evelynlozada,1541838,734
chad_kerley,253,143064
1dbombshell,92,36431
mr_golden_17,21843,1325
darrellerevis24,195,1316
carlpaoli,51384,530
amyhgreen,34764,237
shawnsuggs,24383,1323
hoetels,72404,30
valentin_av,16929,642
rubygreen4,946,167112
biggangvh1,1325,276748
dizzy_fitness,175510,2105
prettylittlelyingvampires,57004,182
vladofootwear,898,32900
spiketv,36165,759
ayedamian,705,103357
rickyharris5,1098,3269
nobodys_photos,83933,191
camila_cabello,246,1400595
sarahlynnfashion,104,23292
hgoodspeed,73239,186
ashley_moore_,517953,469
wethepeoplebmx,48823,480
realchrismiles,7387,644
rockstargames,643732,152
wastedyoutth,40,1983
macklemore,3007923,1160
hood2go,3785,23544
brianchouston,120154,274
adamsaleh,1187,529636
findingtumblr,57,131224
mcdonalds,487001,50
lolwhoran,2829,726
the1975,598574,117
samhookmusic,418,14148
jadepicon,208,272515
aliifepoetry,23,26
fit,374271,4
mertalas,315301,749
minnesotawild,65,127736
stlouisrams,106510,133
sophiabush,932,1526391
vampirediaries,472140,116
danscompinstagram,185,77634
pirategrayson,278,17291
brodyjenner,2335527,479
javim9,215,542701
kimcrossman,231,46207
worldrecordss,2951103,72
_quotes_for_you_,2023,23018
brass305,52133,444
therealfrancia,258286,579
bria_murphy,179412,322
nesserfamilia,8505,242
girlyypostts,15981,36
officialkaelyn,936,218007
nikesb,235,1532848
tazsangel_ab,748288,346
dritadavanzoladyboss,95,349539
bryangvargas,420,10322
missfamenyc,4116,123955
supremetrucks,243245,466
lazyl0l,9448,212
codysimpson,120,2447207
garyvee,799,51455
joselopez_lowridertattoo,49990,4239
birdman5star,117,1502141
ihaveseenit,124061,125
lyciafaith,382413,387
futuretheprince,69945,232
corkswag,1143,13720
shecks,1269805,813
anselelgort,4343053,406
whatevertransparentt,73697,1333
georgelopez,274771,418
headcase220,6463,220
deathparradise,233,18902
clean_wrists_not_hips,41741,519
quincy,558,723445
sydofwgkta,88361,438
sleepystevens,1238,45902
nigelsylvester,98203,1105
alexhiam,87554,459
adapt,333,41330
jamonthepig,58096,444
tiesto,1560350,301
sarahstage,769,1537721
thehoonigans,334657,243
lawrenceology,2,227917
nbcnews,398260,180
ruffleswithlove,2385,44490
jennjohnson20,70319,885
kinggoldchains,4637153,5
theyoungthereckless,2143,77
celtics,618495,861
kimjohansson,195151,303
mackotattoo,141490,229
mystyleshero,78190,2511
liljon,306806,3153
comedyscenesx,124350,109
xxhihaterxx,1153,1411
postaday,218541,68
fitaffinity,990,191128
ayeshaawty,6283,7042
cedricgervais,69139,32
ifunnymeme,99,1222733
dudeitsdamsel,282,265023
missobagi,301,7148
adrianalima,207,4475488
stacykeibler,150229,273
textizer,28,53874
_kionagarcia,85019,813
swervehazza,99136,412
abeyalvarez,28995,1095
eggplonts,437,11190
impactwrestling,56421,435
daltonjackson,194450,523
lindsaylohan,2898236,226
josh_duffy,378,181623
cultcrew,3050,153082
wordsunspokenn,156,1064
brianlogandales,416,83385
magcontour,62,429797
noellefoley,414,30248
djmobeatz,27987,1523
riddlelove,370,10822
onesimplediary,169968,15
offroadgirls,281,65954
kanye_west_kanye_east,627,1482
thefifthjohn,114,58481
bigbillyclark,13898,3787
deraydavis,429337,3661
glenhartless,522,8830
numb_the_no_city_don,754,14411
lilbibby_,303663,106
robinthicke,407812,12
callmebroken,415,68861
niallhoran,181,9167408
nataliehalcro,384,984994
nipplejousting,152,57253
lamborghini,551991,125
spingalnichelle,6951,394
thepinktumblrlife,112,28682
lenadunham,1418731,572
voguxvogux,266,493
mchalmers15,340,637655
ouch_charlayy,154,8308
brantdaugherty,323754,66
bobbytribal,702,38822
twerkingwithclouds,292,3569
star.struck,196,4544
jasonstrauss,18398,1139
fenderguitar,246,406866
mcgregor_ewan,373895,125
spitfirewheels,377157,442
cm.punk,298,28318
marcusbutler,180,1829712
therealrickiefowler,432193,550
teenreasonstosmile,169,143675
gymshark,89,270417
denverbroncos,519246,75
kcchiefs,181112,66
rememberdisneyx,281332,188
skyhighatrist,38756,258
tatyanaali,90338,222
tymoss,33756,181
bsmhaitianfreshceo,117950,7054
normancook,266,1427945
niahlur,105257,125
techimmortal,358,100235
mullingayer,492,744
treysongz,3609779,769
glassofwhiskey,1915445,160
cameronkasper,1012,33568
mamabswag,24773,120
michelleshimmy,30219,432
bakedstagram,353,12943
azcardinals,187661,122
monicamonroexo,469,50717
imatthewsherrill,515,366982
dennistodisco,551,54303
barackobama,3618476,12
jennijwowwmtv,1,113533
queenshmink,10419,176
kidred,58920,2280
katgrahampics,1215564,435
mabelynncapeluj,83435,426
hotelcalifcrnia,276,1544
treejtv,204,61315
calumhood,252,3239856
jeromejarre,394,2044922
onepiece,129524,461
_matt__j,246,157
trishstratuscom,12,118115
djmrrogers,873,30964
fredfrost,22008,996
habeshaqueens,37337,2629
lukam10,241,2472479
officially_nasty,35069,374
skydoesstuff,149,768796
willianborges88,528,1358886
thebesttscenes,192145,160
nspired1,22950,1108
oropeza_ray,273,4542
fernie_andrade,114297,411
mallymall,6476,451053
summerraewwe,406792,199
tampoons,22223,605
broganburnside,70424,179
paigehathaway,1439385,103
bigjermdg,839,3099
jessiemorrison,455,79169
danababy97,99439,397
witneycarson,379,426533
jdog_hlm,469,52972
hookedonemma,202,2227
joshkatz,390,55631
fourstarclothing,157,106285
antthaxton,3912,854
johnnytatt,473,18846
thundercup,372,31249
lordposts,427743,124
sbstunts,203882,1783
sarahlynntea,219,104826
manchesterunited,2703074,28
tvyyib,7468,91
willsasso,145212,330
realronniemagro,313,837678
haileybaldwin,1047689,429
djfolk,165,8874
iamchinarenee,39431,792
nikkohurtado,682,749604
rhymesayers,84,34528
rosannaarkle,551,289351
officialsarajay,253517,212
tobuscus,806321,4
rampage4real,165769,336
alanpadillaart,50256,3361
espn,1621107,173
mrmauricio,9002,280
cyklone,9997,818
chlooooejade,106023,397
tennesseetitans,73082,74
iamquddus,248,6480
adoringchandler,99,1981
wwenxt,97,189827
justinbieberfans,55594,40
panthers,331263,64
perfect_o2l,568,3108
hulyavsr,1000656,67
jaquieohh,78819,417
catdagreat,370450,92
apatheticteens,62,10924
duckdynastyae,33,880452
easymoneysniper,4145284,880
shaycarl,826844,559
tishcyrus,713021,225
adidasneolabel,1334,356581
thetruecolour,101,470
telana11,478,203030
danielrochatat2,50777,1074
missynev,6900,1052
carlafacciolo,209,106467
justene_j,190361,996
gigihadid,1950991,619
starino,27412,884
alfredyankovic,116374,92
eonline,2463007,591
uniquevines,54,2372673
gasmonkeygarage,525837,120
blakegriffin32,240,1644154
selenagomez,78,27187759
hugui81,50989,1128
bmhylandxoxo,1525450,608
dringenberg,603,14623
phoebejtonkin,695,1166386
romeolacoste,180,341440
therock,7294825,30
_________boobies_________,333,4100
adamgoldston,66696,252
jamesyammouniofficial,534791,340
paleobakehouse,336,35457
eleanorj92,1881238,203
chelseahouska,1907435,274
frostyheadwear,10223,337
curdymygrom,304,1325
iansomerhalder,27,4347723
geraldsaluti,27102,278
coreyborner24,3094,38047
awko_overlays,573,13529
poobear,81,295624
kirstenmorrison_,358,8293
camera_duels,300655,130
acaciaswimwear,319698,571
klarity,873,297614
ratchet_n_basic,9285,367
soapmanwun,416473,164
lizgillz,1810079,164
ravens,396764,36
sirtwice,364,30336
packers,441250,35
goaliemaster37,309,360
reebok,250,289371
unsurety,32131,80
bonesbearings,88124,764
heatherraeyoung,268993,494
mls,1325,205376
realevanross,136295,352
payyytonackerman,447383,447
tieks,247,389545
highhsoul,103,223869
skydigg4,766417,608
nia_sioux5,1383411,499
russwest44,1781986,637
kingsamjonesiii,71,64075
graciegold95,556,190927
babyginny,390,6535
wwebige,170416,2
shawnmendes,630,2789644
deionsandersjr,314,32215
hayden_williams,234,1056412
ciphasounds,100137,659
raiders,296328,62
helloitsmelove,560,2120
aadrianherrera,8962,800
daniellejonas,256,924937
zumiez,356635,541
fakezachaplin,172,18046
iblondegenius,3110,903
ayydubs,75313,163
stellahudgens,293,996207
gotzemario,119,2763974
saidthewhale,10119,273
jackgilinsky,208,2479364
smoshacorn,5565,6608
pepwilliams,8261,741
zeroskateboards,118628,283
thenikkibella,1593492,153
mamakingston1,17607,1179
jennettemccurdy,2879743,5
officiallysteveo,894872,96
isacelliot,468,261555
talisalo,345762,198
edelman11,438713,288
djchuckie,151665,644
mrkatyperry,100,1914
yankees,593314,17
twittels,406,10058
channingtatum,121,5060719
clubcrisis,8005,964
louisheartme,259,309
profoundco,36795,249
robdyrdek,2417154,257
idaaztor,16841,439
minnesotavikings,169668,35
volumebikes,40495,370
__ilovelexie__,1196,650
mike_stud,154,122256
kkrose99,6583,918
_savannahbelle_,30205,212
factory413,11132,91
emmalution,314171,191
seasonalsdesires,1585,11443
comicposts,89240,7
haroldluvme,81066,669
mikeposner,151976,44
lakers24ever,64713,37
angelbespoke,25507,740
shanieceh,445,555225
djdiamondkuts,1246,56066
trendablapp,211186,105
sephora,372,2277366
drdrea_,746,1053
waste.d,593,461
gagagallery,62749,270
jordynwoods,297968,302
romantattoos,1954,442660
derrtymo,897150,2000
latinopride,20,345391
femfitnessmodels,126900,317
sexualaughs,319,619417
keepitjedi,307,3277
perfectly.pink,64,54094
jvalentine1,13232,256
nicktucker,317,259591
lancemoore16,51635,301
joeysalad,56324,336
tattooartistmagazine,136564,1032
cmacdaddyy,134980,732
westcoastcustoms,47,320929
frost117,528403,552
doge.post,6,47119
thelanawwe,332984,326
monsterenergy,932,1624538
theevanitydiary,443263,613
earlxsweaat,79,17668
factsdaily,574292,166
nonsense_thee_mc,487,1874
the_naja,52241,7502
raywilliamjohnson,411102,202
sunnymabrey,59878,584
joeygraceffa,1973556,128
girlslifemag,220,37303
my_hartbig,222,1951
chanelwestcoast,974,2162148
jamesstrickland,46353,1151
awesomenesstv,1968,197779
anthonyanderson,90345,306
drew_shipley,152,185390
usweekly,588337,139
tbbuccaneers,69807,34
fivefour,388,60772
skyferreira,959,532130
eg0re,196689,424
gmhdiary,252177,185
vevo,571183,684
larryfisherman,253,1057704
badgleymischka,114475,91
themuska,81547,402
touchmytitties,50,11077
miamidolphins,251943,3
spookyposts,189004,210
bodyteaofficial,136046,450
theelcartel,269,11202
lolliecakez,73295,21
bridgitmendler,94,1208903
meetjulian,274519,46
chazortiz,825,311885
hi_this_is_aj,1764,843
brinamberlee,95470,240
ladygrouplove,39229,259
hopsinson,348510,111
realsway,198469,1354
tomtilden,3083,1183
mrspeakthetruth,2572,1741
representclo,86792,0
jeffdauler,712,21492
kane_sheckler,169947,1034
gilbertsalas,934,28651
reggiebush,472575,437
imguddagudda,83264,535
alliemarieevans,109984,397
thegorgeousruby,463,348
paulwallbaby,2071,330389
samtat2,399,2758
atcmia,76,10547
facetstudio,309390,7455
zacktorres22,117038,694
rebysky,67,15072
steviewilliams,130430,960
parkerbiederer,336,40243
marcusjohns,547,825780
johnny,225786,453
bobby_serna,31112,537
saul_tat2,12746,376
ironeyeretna,76100,909
markthemogul,6800,999
lexie1225,659,351073
bellatheaussie,2575,32894
meryledavis,228,304495
insta_quoting,111643,17
bale_porvida,395,4307
richhomiequan,1454166,681
hollandroden,466,998338
zaynmalik,5,1602408
nipseyhussle,537264,951
iggymfails,32,607780
nayarivera,62,1298287
littlemixofficial,1598948,92
romanatwood,594713,80
iamrachelcrow,644,90003
twdcast,144119,38
uceyjucey,123612,194
creative_inventioners,16041,2549
rednecknmemes,793584,11
thebriebella,1495087,355
kaws,656,349594
kittenfacts,0,52109
bieberscene,72493,130
sextpert,54,360655
kr3wdenim,50067,395
dazzlingoverlays,13,71803
lakers_nation_,0,4
pureworldtruth,545,44036
